source,year,identifier,sol,ecl_lon,beta,vg,e,q,inc,peri,node,sunlon,score,orbit_d
SonotaCo,2007,2444,38.0222,248.1247488738975,7.271399641396585,37.893,0.9456,0.081,24.1019,333.1311,38.0223,-149.8974511261025,0.3650202764424526,0.012434429039022876
SonotaCo,2009,5868,36.4288,247.42533083442493,7.281745275475416,36.383,0.9344,0.084,22.7095,333.7683,36.4289,-149.0034691655751,1.404817211555235,0.04875035202236437
SonotaCo,2009,6126,39.366,249.468222092356,7.535258404295107,37.88,0.9449,0.082,24.8155,332.8895,39.3662,-149.897777907644,0.3890937403186103,0.018583828926779223
SonotaCo,2009,6228,40.4046,250.18044316141734,7.933171606013907,36.595,0.9321,0.094,23.5876,331.5079,40.4049,-150.22415683858264,2.321703911814903,0.0342234219796021
SonotaCo,2010,5639,34.2956,246.10597999669713,7.372117508370764,37.234,0.9434,0.074,25.2292,335.3891,34.2962,-148.18962000330288,1.727870092963398,0.04173605407610553
SonotaCo,2013,5566,38.2237,248.66438717080285,7.248127987234478,37.681,0.9446,0.08,24.1021,333.6119,38.2237,-149.55931282919715,0.013645072798063314,0.012905040877998594
SonotaCo,2018,6479,37.1844,248.0609094030242,8.098457723757605,38.175,0.9468,0.078,27.8471,333.8117,37.1844,-149.12349059697578,1.9297220847092273,0.05826666889187649
SonotaCo,2020,6579,37.648,248.04769718467728,7.7452908736992105,36.601,0.9337,0.089,23.7018,332.6198,37.6483,-149.60030281532272,1.3061679777668935,0.031649080678289344
SonotaCo,2022,10170,35.3232866028093,245.5101144831742,7.746268477024233,37.916,0.9447,0.081,25.8528,333.3439,35.0172,-149.8131721196351,1.083297011959741,0.05564795529166775
SonotaCo,2022,10257,39.373274482882415,249.19746395318145,7.251313200378356,38.025,0.9467,0.08,24.2578,333.2165,39.0684,-150.17581052970093,0.7022078309812789,0.017230503215407457
SonotaCo,2023,9668,37.02810922431555,247.04679978135664,7.146350400980614,37.01,0.9389,0.084,22.6284,333.1467,36.708,-149.98130944295895,1.0159861550090767,0.05069475912152295
